Kommentar	Sort1	Sort2	ID des ersten Bildes	Titel	Serie	Veröffentlichungsjahr	Link zum aktuellen Bild 2021	ID des Werkes	Link zum Werk	Link zum ersten Bild (300 dpi, JPG)	Link zu Wikicommons Bild	Land	Kreis (heute)	Ortsname (heute)	Stadtteilname (heute)	Ortsname (damals)	guess_Burg3	guess_Burg2	guess_Schloss3	Motivbeschreibung	guess_Adresse5	geoJson	osm_details_URL	geo_coords	osm_Name	Link zu Google Maps	guess_Adresse4	guess_Adresse3	guess_AmOrt2	guess_Schloss	guess_Hof	guess_Museum	guess_Burg	guess_Bach	guess_Werk	guess_Gasse	guess_Markt	guess_turm	guess_Graben	guess_Weg	guess_Strasse3	guess_Strasse2	guess_Platz	Guess_Street	guess_Adresse	Text1	text2	text3	text4	text5	Titel_old	Weitere Internetadressen
	465	1	5798955	Aachen, alte Häuser Alexanderstraße 10 - 12 mit Brunnen	3	1911		5722827	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5722827	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5798955	https://commons.wikimedia.org/wiki/File:5722827.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alte Häuser Alexanderstraße 10 - 12 mit Brunnen	Alexanderstraße 10 	"[{""place_id"":""51730338"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""79424436"",""boundingbox"":[""50.7779887"",""50.7781046"",""6.0888668"",""6.0890167""],""lat"":""50.7780466"",""lon"":""6.08894175876791"",""display_name"":""6,10, Alexanderstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland"",""place_rank"":""30"",""category"":""building"",""type"":""yes"",""importance"":0.221}]"	https://nominatim.openstreetmap.org/ui/details.html?osmtype=W&osmid=79424436	50.7780466,6.08894175876791	6,10, Alexanderstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland		Alexanderstraße 10 	Alexanderstraße 10 													Alexanderstraße 10 	Alexanderstraße 10 		Alexanderstraße 10 	Alexanderstraße 10 	 alte Häuser Alexanderstraße 10 - 12 mit Brunnen					Aachen, alte Häuser Alexanderstraße 10 - 12 mit Brunnen	
	467	2	5798945	Aachen, alte Häuser Alexanderstraße 21 - 25 mit Brunnen	3	1911		5722829	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5722829	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5798945	https://commons.wikimedia.org/wiki/File:5722829.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alte Häuser Alexanderstraße 21 - 25 mit Brunnen	Alexanderstraße 21 	"[{""place_id"":""84861912"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""344958810"",""boundingbox"":[""50.9131121"",""50.9132609"",""6.1901573"",""6.1903784""],""lat"":""50.91317555"",""lon"":""6.19028438758085"",""display_name"":""21, Alexanderstraße, Baesweiler, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52499, Deutschland"",""place_rank"":""30"",""category"":""building"",""type"":""yes"",""importance"":0.211}]"	https://nominatim.openstreetmap.org/ui/details.html?osmtype=W&osmid=344958810	50.91317555,6.19028438758085	21, Alexanderstraße, Baesweiler, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52499, Deutschland		Alexanderstraße 21 	Alexanderstraße 21 													Alexanderstraße 21 	Alexanderstraße 21 		Alexanderstraße 21 	Alexanderstraße 21 	 alte Häuser Alexanderstraße 21 - 25 mit Brunnen					Aachen, alte Häuser Alexanderstraße 21 - 25 mit Brunnen	
	791	3	5951552	Aachen, alte Häuser am Rathause, Kremerstr. 1 - 2	4	1915		5723499	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723499	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951552	https://commons.wikimedia.org/wiki/File:5723499.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alte Häuser am Rathause, Kremerstr. 1 - 2	Kremerstr. 1 	"[{""place_id"":""45157970"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""25044563"",""boundingbox"":[""50.8430938"",""50.8442075"",""6.1164157"",""6.1180567""],""lat"":""50.8436424"",""lon"":""6.1172239"",""display_name"":""Kremerstraße, Bardenberg, Würselen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52146, Deutschland"",""place_rank"":""26"",""category"":""highway"",""type"":""living_street"",""importance"":0.3}]"	https://nominatim.openstreetmap.org/ui/details.html?osmtype=W&osmid=25044563	50.8436424,6.1172239	Kremerstraße, Bardenberg, Würselen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52146, Deutschland		Kremerstr. 1 	Kremerstr. 1 													Kremerstr. 1 	Kremerstr. 1 				 alte Häuser am Rathause	 Kremerstr. 1 - 2				Aachen, alte Häuser am Rathause, Kremerstr. 1 - 2	
	447	4	5798890	Aachen, alte Häuser Jacobstraße 20 - 22	3	1911		5722808	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5722808	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5798890	https://commons.wikimedia.org/wiki/File:5722808.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alte Häuser Jacobstraße 20 - 22	Jacobstraße 20 	[]					Jacobstraße 20 	Jacobstraße 20 													Jacobstraße 20 	Jacobstraße 20 		Jacobstraße 20 	Jacobstraße 20 	 alte Häuser Jacobstraße 20 - 22					Aachen, alte Häuser Jacobstraße 20 - 22	
	443	5	5798840	Aachen, alte Häuser Kleinkölnstraße 8 - 14	3	1911		5722804	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5722804	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5798840	https://commons.wikimedia.org/wiki/File:5722804.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alte Häuser Kleinkölnstraße 8 - 14	Kleinkölnstraße 8 	"[{""place_id"":""51584347"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""77665422"",""boundingbox"":[""50.7764615"",""50.7765856"",""6.0853787"",""6.0856282""],""lat"":""50.77654875"",""lon"":""6.08551754948171"",""display_name"":""Neue Wege, 8, Kleinkölnstraße, Pontviertel, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland"",""place_rank"":""30"",""category"":""shop"",""type"":""shoes"",""importance"":0.221}]"	https://nominatim.openstreetmap.org/ui/details.html?osmtype=W&osmid=77665422	50.77654875,6.08551754948171	Neue Wege, 8, Kleinkölnstraße, Pontviertel, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland		Kleinkölnstraße 8 	Kleinkölnstraße 8 													Kleinkölnstraße 8 	Kleinkölnstraße 8 		Kleinkölnstraße 8 	Kleinkölnstraße 8 	 alte Häuser Kleinkölnstraße 8 - 14					Aachen, alte Häuser Kleinkölnstraße 8 - 14	
	837	6	5959202	Aachen, alte Haustür, Kunstgewerbemuseum	4	1915		5723657	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723657	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5959202	https://commons.wikimedia.org/wiki/File:5723657.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alte Haustür, Kunstgewerbemuseum	Kunstgewerbemuseum	[]					Kunstgewerbemuseum					Kunstgewerbemuseum														 alte Haustür	 Kunstgewerbemuseum				Aachen, alte Haustür, Kunstgewerbemuseum	
	771	7	5951502	Aachen, alter Kurhaussaal, Einzelwand	4	1915		5723479	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723479	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951502	https://commons.wikimedia.org/wiki/File:5723479.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				alter Kurhaussaal, Einzelwand							1																			 alter Kurhaussaal	 Einzelwand				Aachen, alter Kurhaussaal, Einzelwand	
	772	8	5951497	Aachen, Altes Kurhaus, Conversationssaal	4	1915		5723480	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723480	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951497	https://commons.wikimedia.org/wiki/File:5723480.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Altes Kurhaus, Conversationssaal							1																			 Altes Kurhaus	 Conversationssaal				Aachen, Altes Kurhaus, Conversationssaal	
	773	9	5951492	Aachen, Altes Kurhaus, Lesesaal	4	1915		5723481	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723481	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951492	https://commons.wikimedia.org/wiki/File:5723481.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Altes Kurhaus, Lesesaal							1																			 Altes Kurhaus	 Lesesaal				Aachen, Altes Kurhaus, Lesesaal	
	769	10	5951512	Aachen, Altes Kurhaus, Strassenseite	4	1915		5723477	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723477	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951512	https://commons.wikimedia.org/wiki/File:5723477.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Altes Kurhaus, Strassenseite							1																			 Altes Kurhaus	 Strassenseite				Aachen, Altes Kurhaus, Strassenseite	
	818	11	5958739	Aachen, Am Büchel, Hotel Zum großen Monarchen	4	1915		5723638	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723638	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5958739	https://commons.wikimedia.org/wiki/File:5723638.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Am Büchel, Hotel Zum großen Monarchen	Am Büchel	[]					Am Büchel	Am Büchel	Am Büchel																	 Am Büchel	 Hotel Zum großen Monarchen				Aachen, Am Büchel, Hotel Zum großen Monarchen	
	799	12	5958629	Aachen, Am Hottmannspief	4	1915		5723507	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723507	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5958629	https://commons.wikimedia.org/wiki/File:5723507.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Am Hottmannspief	Am Hottmannspief	[]					Am Hottmannspief	Am Hottmannspief	Am Hottmannspief																	 Am Hottmannspief					Aachen, Am Hottmannspief	
	833	13	5958759	Aachen, Am Hühnermarkt	4	1915		5723653	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723653	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5958759	https://commons.wikimedia.org/wiki/File:5723653.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Am Hühnermarkt	Am Hühnermarkt	[]					Am Hühnermarkt	Am Hühnermarkt	Am Hühnermarkt								Hühnermarkt									 Am Hühnermarkt					Aachen, Am Hühnermarkt	
	823	14	5958719	Aachen, Am Klosterplatz, Haus Theissen	4	1915		5723643	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723643	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5958719	https://commons.wikimedia.org/wiki/File:5723643.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Am Klosterplatz, Haus Theissen	Am Klosterplatz	[]					Am Klosterplatz	Am Klosterplatz	Am Klosterplatz																	 Am Klosterplatz	 Haus Theissen				Aachen, Am Klosterplatz, Haus Theissen	
	468	15	5798940	Aachen, Balkontür mit Gitter Alexanderstraße 33	3	1911		5722830	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5722830	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5798940	https://commons.wikimedia.org/wiki/File:5722830.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Balkontür mit Gitter Alexanderstraße 33	Alexanderstraße 33	"[{""place_id"":""14344572"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""2351140217"",""boundingbox"":[""50.7785104"",""50.7786104"",""6.0895379"",""6.0896379""],""lat"":""50.7785604"",""lon"":""6.0895879"",""display_name"":""Restaurant La Strada, 33, Alexanderstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland"",""place_rank"":""30"",""category"":""amenity"",""type"":""restaurant"",""importance"":0.221,""icon"":""http:\/\/h00432l\/nominatim\/images\/mapicons\/food_restaurant.p.20.png""},{""place_id"":""53107365"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""79484273"",""boundingbox"":[""50.7785203"",""50.7786352"",""6.0895119"",""6.0896555""],""lat"":""50.77857535"",""lon"":""6.08958458073998"",""display_name"":""33, Alexanderstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland"",""place_rank"":""30"",""category"":""building"",""type"":""yes"",""importance"":0.221}]"	https://nominatim.openstreetmap.org/ui/details.html?osmtype=N&osmid=2351140217	50.7785604,6.0895879	Restaurant La Strada, 33, Alexanderstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52062, Deutschland		Alexanderstraße 33	Alexanderstraße 33													Alexanderstraße 33	Alexanderstraße 33		Alexanderstraße 33	Alexanderstraße 33	 Balkontür mit Gitter Alexanderstraße 33					Aachen, Balkontür mit Gitter Alexanderstraße 33	
	789	16	5951562	Aachen, Belvedere auf dem Lousberge	4	1915		5723497	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723497	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951562	https://commons.wikimedia.org/wiki/File:5723497.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Belvedere auf dem Lousberge							1																			 Belvedere auf dem Lousberge					Aachen, Belvedere auf dem Lousberge	
	793	17	5951542	Aachen, Brunnen Hottmannspief	4	1915		5723501	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723501	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951542	https://commons.wikimedia.org/wiki/File:5723501.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Brunnen Hottmannspief							1																			 Brunnen Hottmannspief					Aachen, Brunnen Hottmannspief	
	844	18	5973585	Aachen, Burtscheider Zimmer im Suermondmuseum, Tür u. Wandschrank	4	1915		5723664	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723664	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5973585	https://commons.wikimedia.org/wiki/File:5723664.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Burtscheider Zimmer im Suermondmuseum, Tür u. Wandschrank	Suermondmuseum	[]					Suermondmuseum					Suermondmuseum														 Burtscheider Zimmer im Suermondmuseum	 Tür u. Wandschrank				Aachen, Burtscheider Zimmer im Suermondmuseum, Tür u. Wandschrank	http://www.deutschefotothek.de/documents/obj/71436125
	780	19	5951457	Aachen, Comphausbad, äußere Ansicht	4	1915		5723488	http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/5723488	http://digital.ub.uni-duesseldorf.de/download/webcache/0/5951457	https://commons.wikimedia.org/wiki/File:5723488.Erwin_Quedenfeldt.jpg	Deutschland		Aachen		Aachen				Comphausbad, äußere Ansicht							1																			 Comphausbad	 äußere Ansicht				Aachen, Comphausbad, äußere Ansicht	
